2023 National Employment Matrix title,2023 National Employment Matrix code,Occupation type,"Employment, 2023","Employment, 2033","Employment distribution, percent, 2023","Employment distribution, percent, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Percent self employed, 2023","Occupational openings, 2023–33 annual average","Median annual wage, dollars, 2023[1]",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Major Occupation Group
"Total, all occupations",00-0000,Total,167849.8,174589.0,100.0,100.0,6739.2,4.0,5.8,19174.8,48060.0,—,—,—,
  Management occupations,11-0000,Summary,13181.3,14140.9,7.9,8.1,959.6,7.3,15.1,1160.0,116880.0,—,—,—,
  Business and financial operations occupations,13-0000,Summary,10977.2,11738.5,6.5,6.7,761.3,6.9,4.1,963.5,79050.0,—,—,—,
  Computer and mathematical occupations,15-0000,Summary,5417.6,6116.7,3.2,3.5,699.0,12.9,2.1,393.9,104200.0,—,—,—,
  Architecture and engineering occupations,17-0000,Summary,2639.7,2819.7,1.6,1.6,180.0,6.8,2.3,195.0,91420.0,—,—,—,
"  Life, physical, and social science occupations",19-0000,Summary,1574.1,1691.7,0.9,1.0,117.6,7.5,5.2,148.4,78280.0,—,—,—,
  Community and social service occupations,21-0000,Summary,3044.7,3291.7,1.8,1.9,247.0,8.1,3.8,299.4,52000.0,—,—,—,
  Legal occupations,23-0000,Summary,1394.4,1446.2,0.8,0.8,51.8,3.7,9.0,85.6,99220.0,—,—,—,
  Educational instruction and library occupations,25-0000,Summary,9579.9,9731.2,5.7,5.6,151.3,1.6,1.7,868.0,59940.0,—,—,—,
"  Arts, design, entertainment, sports, and media occupations",27-0000,Summary,3073.1,3203.2,1.8,1.8,130.1,4.2,26.0,306.3,58920.0,—,—,—,
  Healthcare practitioners and technical occupations,29-0000,Summary,9781.6,10623.3,5.8,6.1,841.7,8.6,2.3,640.9,80820.0,—,—,—,
  Healthcare support occupations,31-0000,Summary,7516.9,8659.3,4.5,5.0,1142.4,15.2,2.5,1261.1,36140.0,—,—,—,
  Protective service occupations,33-0000,Summary,3630.7,3704.7,2.2,2.1,74.0,2.0,0.2,419.3,47760.0,—,—,—,
  Food preparation and serving related occupations,35-0000,Summary,13580.3,14167.2,8.1,8.1,586.8,4.3,0.6,2683.4,32240.0,—,—,—,
  Building and grounds cleaning and maintenance occupations,37-0000,Summary,5640.5,5817.4,3.4,3.3,176.9,3.1,12.0,786.8,35990.0,—,—,—,
  Personal care and service occupations,39-0000,Summary,4346.2,4622.3,2.6,2.6,276.1,6.4,21.6,794.5,34260.0,—,—,—,
  Sales and related occupations,41-0000,Summary,14609.5,14319.5,8.7,8.2,-290.0,-2.0,7.4,1817.3,36760.0,—,—,—,
  Office and administrative support occupations,43-0000,Summary,19671.9,18975.6,11.7,10.9,-696.3,-3.5,2.0,2073.7,44480.0,—,—,—,
"  Farming, fishing, and forestry occupations",45-0000,Summary,982.9,964.5,0.6,0.6,-18.4,-1.9,8.2,145.2,35520.0,—,—,—,
  Construction and extraction occupations,47-0000,Summary,7338.3,7752.3,4.4,4.4,414.0,5.6,13.9,663.5,55680.0,—,—,—,
"  Installation, maintenance, and repair occupations",49-0000,Summary,6460.3,6803.5,3.8,3.9,343.3,5.3,4.5,606.2,53920.0,—,—,—,
  Production occupations,51-0000,Summary,9093.6,8999.5,5.4,5.2,-94.1,-1.0,2.9,970.1,43630.0,—,—,—,
  Transportation and material moving occupations,53-0000,Summary,14315.1,15000.1,8.5,8.6,685.1,4.8,3.9,1892.9,40050.0,—,—,—,
      Chief executives,11-1011,Line item,313.9,331.1,0.2,0.2,17.2,5.5,28.1,23.0,206680.0,Bachelor's degree,5 years or more,,Management
      General and operations managers,11-1021,Line item,3630.1,3840.5,2.2,2.2,210.4,5.8,0.5,320.8,101280.0,Bachelor's degree,5 years or more,,Management
      Legislators,11-1031,Line item,33.7,35.0,0.0,0.0,1.4,4.1,,2.7,47290.0,Bachelor's degree,Less than 5 years,,Management
      Advertising and promotions managers,11-2011,Line item,22.2,21.7,0.0,0.0,-0.6,-2.6,6.2,1.8,131870.0,Bachelor's degree,Less than 5 years,,Management
        Marketing managers,11-2021,Line item,389.1,420.8,0.2,0.2,31.7,8.2,3.2,34.8,157620.0,Bachelor's degree,5 years or more,,Management
        Sales managers,11-2022,Line item,584.8,619.1,0.3,0.4,34.3,5.9,0.1,48.6,135160.0,Bachelor's degree,Less than 5 years,,Management
        Public relations managers,11-2032,Line item,78.4,83.8,0.0,0.0,5.4,6.9,,6.0,134760.0,Bachelor's degree,5 years or more,,Management
        Fundraising managers,11-2033,Line item,38.2,40.5,0.0,0.0,2.3,5.9,,2.9,119200.0,Bachelor's degree,5 years or more,,Management
        Administrative services managers,11-3012,Line item,256.8,272.8,0.2,0.2,16.0,6.2,,22.7,106470.0,Bachelor's degree,Less than 5 years,,Management
        Facilities managers,11-3013,Line item,140.5,147.9,0.1,0.1,7.4,5.3,0.7,12.5,102340.0,Bachelor's degree,Less than 5 years,,Management
      Computer and information systems managers,11-3021,Line item,613.5,720.4,0.4,0.4,106.9,17.4,1.0,54.7,169510.0,Bachelor's degree,5 years or more,,Management
      Financial managers,11-3031,Line item,837.1,975.3,0.5,0.6,138.3,16.5,2.4,75.1,156100.0,Bachelor's degree,5 years or more,,Management
      Industrial production managers,11-3051,Line item,230.1,236.7,0.1,0.1,6.5,2.8,1.4,17.1,116970.0,Bachelor's degree,5 years or more,,Management
      Purchasing managers,11-3061,Line item,81.3,85.4,0.0,0.0,4.1,5.1,3.8,6.5,136380.0,Bachelor's degree,5 years or more,,Management
"      Transportation, storage, and distribution managers",11-3071,Line item,211.8,230.8,0.1,0.1,19.1,9.0,3.7,19.7,99200.0,High school diploma or equivalent,5 years or more,,Management
      Compensation and benefits managers,11-3111,Line item,19.1,19.5,0.0,0.0,0.4,2.1,,1.3,136380.0,Bachelor's degree,5 years or more,,Management
      Human resources managers,11-3121,Line item,208.9,222.5,0.1,0.1,13.5,6.5,1.1,17.4,136350.0,Bachelor's degree,5 years or more,,Management
      Training and development managers,11-3131,Line item,43.2,46.4,0.0,0.0,3.2,7.3,,3.6,125040.0,Bachelor's degree,5 years or more,,Management
"      Farmers, ranchers, and other agricultural managers",11-9013,Line item,856.6,842.9,0.5,0.5,-13.8,-1.6,65.2,88.5,83770.0,High school diploma or equivalent,5 years or more,,Management
      Construction managers,11-9021,Line item,520.9,568.5,0.3,0.3,47.6,9.1,35.8,45.8,104900.0,Bachelor's degree,,Moderate-term on-the-job training,Management
"        Education and childcare administrators, preschool and daycare",11-9031,Line item,80.9,79.2,0.0,0.0,-1.7,-2.1,5.9,5.1,54290.0,Bachelor's degree,Less than 5 years,,Management
"        Education administrators, kindergarten through secondary",11-9032,Line item,316.6,315.0,0.2,0.2,-1.6,-0.5,1.4,20.8,103460.0,Master's degree,5 years or more,,Management
"        Education administrators, postsecondary",11-9033,Line item,216.4,222.7,0.1,0.1,6.2,2.9,2.7,15.2,102610.0,Master's degree,Less than 5 years,,Management
"        Education administrators, all other",11-9039,Line item,57.7,59.1,0.0,0.0,1.4,2.5,4.3,4.0,88460.0,Bachelor's degree,Less than 5 years,,Management
      Architectural and engineering managers,11-9041,Line item,210.2,221.8,0.1,0.1,11.6,5.5,,15.0,165370.0,Bachelor's degree,5 years or more,,Management
      Food service managers,11-9051,Line item,393.6,399.5,0.2,0.2,5.9,1.5,36.4,44.5,63060.0,High school diploma or equivalent,Less than 5 years,Short-term on-the-job training,Management
        Gambling managers,11-9071,Line item,5.3,5.5,0.0,0.0,0.3,5.1,9.5,0.7,82380.0,High school diploma or equivalent,Less than 5 years,,Management
"        Entertainment and recreation managers, except gambling",11-9072,Line item,35.8,39.7,0.0,0.0,3.9,10.8,11.4,4.8,73460.0,Bachelor's degree,Less than 5 years,,Management
      Lodging managers,11-9081,Line item,53.3,58.6,0.0,0.0,5.3,9.9,18.7,6.0,65360.0,High school diploma or equivalent,Less than 5 years,,Management
      Medical and health services managers,11-9111,Line item,562.7,723.3,0.3,0.4,160.6,28.5,5.1,61.4,110680.0,Bachelor's degree,Less than 5 years,,Management
      Natural sciences managers,11-9121,Line item,100.1,107.6,0.1,0.1,7.5,7.5,,8.3,157740.0,Bachelor's degree,5 years or more,,Management
      Postmasters and mail superintendents,11-9131,Line item,13.2,12.8,0.0,0.0,-0.4,-3.0,,0.9,88670.0,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,Management
"      Property, real estate, and community association managers",11-9141,Line item,467.1,482.2,0.3,0.3,15.1,3.2,37.4,37.8,62850.0,High school diploma or equivalent,Less than 5 years,Short-term on-the-job training,Management
      Social and community service managers,11-9151,Line item,199.5,215.9,0.1,0.1,16.4,8.2,7.2,17.8,77030.0,Bachelor's degree,Less than 5 years,,Management
      Emergency management directors,11-9161,Line item,12.4,12.9,0.0,0.0,0.5,4.0,,1.0,83960.0,Bachelor's degree,5 years or more,,Management
        Funeral home managers,11-9171,Line item,35.8,37.4,0.0,0.0,1.6,4.5,58.3,2.9,75660.0,Associate's degree,Less than 5 years,,Management
"        Personal service managers, all other",11-9179,Line item,27.9,29.8,0.0,0.0,1.9,6.9,56.5,2.3,57570.0,High school diploma or equivalent,Less than 5 years,,Management
"      Managers, all other",11-9199,Line item,1282.5,1356.2,0.8,0.8,73.7,5.7,50.5,105.8,133560.0,Bachelor's degree,Less than 5 years,,Management
"      Agents and business managers of artists, performers, and athletes",13-1011,Line item,18.6,20.4,0.0,0.0,1.7,9.2,33.6,2.1,84900.0,Bachelor's degree,Less than 5 years,,Business and Financial Operations
      Buyers and purchasing agents,13-1020,Line item,524.1,561.4,0.3,0.3,37.2,7.1,6.3,54.7,71950.0,Bachelor's degree,,Moderate-term on-the-job training,Business and Financial Operations
"        Claims adjusters, examiners, and investigators",13-1031,Line item,345.2,330.0,0.2,0.2,-15.2,-4.4,3.0,20.9,75050.0,High school diploma or equivalent,,Long-term on-the-job training,Business and Financial Operations
"        Insurance appraisers, auto damage",13-1032,Line item,10.5,9.5,0.0,0.0,-1.0,-9.2,3.6,0.6,74520.0,Postsecondary nondegree award,,Moderate-term on-the-job training,Business and Financial Operations
      Compliance officers,13-1041,Line item,403.9,425.8,0.2,0.2,21.9,5.4,0.6,34.4,75670.0,Bachelor's degree,,Moderate-term on-the-job training,Business and Financial Operations
      Cost estimators,13-1051,Line item,227.9,219.6,0.1,0.1,-8.3,-3.6,1.3,18.0,74740.0,Bachelor's degree,,Moderate-term on-the-job training,Business and Financial Operations
        Human resources specialists,13-1071,Line item,933.7,1007.9,0.6,0.6,74.2,7.9,1.4,86.2,67650.0,Bachelor's degree,,,Business and Financial Operations
        Farm labor contractors,13-1074,Line item,1.5,1.6,0.0,0.0,0.1,6.6,,0.1,45730.0,No formal educational credential,Less than 5 years,Short-term on-the-job training,Business and Financial Operations
        Labor relations specialists,13-1075,Line item,65.8,65.6,0.0,0.0,-0.2,-0.3,1.4,5.3,89980.0,Bachelor's degree,Less than 5 years,,Business and Financial Operations
        Logisticians,13-1081,Line item,237.1,282.9,0.1,0.2,45.8,19.3,0.9,26.1,79400.0,Bachelor's degree,,,Business and Financial Operations
        Project management specialists,13-1082,Line item,973.6,1043.4,0.6,0.6,69.9,7.2,0.4,77.0,98580.0,Bachelor's degree,,,Business and Financial Operations
      Management analysts,13-1111,Line item,1018.3,1126.2,0.6,0.6,107.9,10.6,14.4,95.7,99410.0,Bachelor's degree,Less than 5 years,,Business and Financial Operations
"      Meeting, convention, and event planners",13-1121,Line item,149.0,158.9,0.1,0.1,9.9,6.6,9.1,16.5,56920.0,Bachelor's degree,,,Business and Financial Operations
      Fundraisers,13-1131,Line item,125.9,133.3,0.1,0.1,7.4,5.9,0.7,10.0,64160.0,Bachelor's degree,,,Business and Financial Operations
"      Compensation, benefits, and job analysis specialists",13-1141,Line item,103.7,111.0,0.1,0.1,7.2,7.0,0.5,8.2,74530.0,Bachelor's degree,Less than 5 years,,Business and Financial Operations
      Training and development specialists,13-1151,Line item,420.1,468.6,0.3,0.3,48.5,11.5,0.3,42.2,64340.0,Bachelor's degree,Less than 5 years,,Business and Financial Operations
      Market research analysts and marketing specialists,13-1161,Line item,903.4,978.3,0.5,0.6,74.9,8.3,3.6,88.5,74680.0,Bachelor's degree,,,Business and Financial Operations
"      Business operations specialists, all other",13-1199,Line item,1181.5,1245.3,0.7,0.7,63.8,5.4,1.4,107.4,79590.0,Bachelor's degree,,,Business and Financial Operations
      Accountants and auditors,13-2011,Line item,1562.0,1653.4,0.9,0.9,91.4,5.8,4.0,130.8,79880.0,Bachelor's degree,,,Business and Financial Operations
      Property appraisers and assessors,13-2020,Line item,83.9,87.1,0.0,0.0,3.2,3.9,23.7,6.9,61630.0,Bachelor's degree,,Long-term on-the-job training,Business and Financial Operations
      Budget analysts,13-2031,Line item,50.8,52.7,0.0,0.0,2.0,3.9,0.4,3.4,84940.0,Bachelor's degree,,,Business and Financial Operations
      Credit analysts,13-2041,Line item,73.7,70.8,0.0,0.0,-2.8,-3.9,,4.6,79420.0,Bachelor's degree,,,Business and Financial Operations
        Financial and investment analysts,13-2051,Line item,347.4,380.5,0.2,0.2,33.1,9.5,3.5,26.1,99010.0,Bachelor's degree,,,Business and Financial Operations
        Personal financial advisors,13-2052,Line item,321.0,375.9,0.2,0.2,55.0,17.1,13.2,27.0,99580.0,Bachelor's degree,,Long-term on-the-job training,Business and Financial Operations
        Insurance underwriters,13-2053,Line item,118.4,113.7,0.1,0.1,-4.7,-4.0,0.4,7.8,77860.0,Bachelor's degree,,Moderate-term on-the-job training,Business and Financial Operations
        Financial risk specialists,13-2054,Line item,57.5,62.3,0.0,0.0,4.8,8.4,1.4,4.6,106090.0,Bachelor's degree,,,Business and Financial Operations
      Financial examiners,13-2061,Line item,65.5,79.2,0.0,0.0,13.8,21.0,,6.5,84300.0,Bachelor's degree,,Long-term on-the-job training,Business and Financial Operations
        Credit counselors,13-2071,Line item,31.8,33.3,0.0,0.0,1.5,4.9,2.0,2.3,48570.0,Bachelor's degree,,Moderate-term on-the-job training,Business and Financial Operations
        Loan officers,13-2072,Line item,334.1,338.7,0.2,0.2,4.5,1.4,2.8,22.9,69990.0,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,Business and Financial Operations
"        Tax examiners and collectors, and revenue agents",13-2081,Line item,54.0,55.0,0.0,0.0,1.0,1.9,,4.1,58530.0,Bachelor's degree,,Moderate-term on-the-job training,Business and Financial Operations
        Tax preparers,13-2082,Line item,103.8,108.2,0.1,0.1,4.4,4.2,17.9,12.2,49010.0,High school diploma or equivalent,,Moderate-term on-the-job training,Business and Financial Operations
"      Financial specialists, all other",13-2099,Line item,129.8,137.9,0.1,0.1,8.1,6.2,1.0,10.1,78310.0,Bachelor's degree,,,Business and Financial Operations
        Computer systems analysts,15-1211,Line item,527.2,583.7,0.3,0.3,56.5,10.7,2.6,37.3,103800.0,Bachelor's degree,,,Computer and Mathematics
        Information security analysts,15-1212,Line item,180.7,239.8,0.1,0.1,59.1,32.7,1.2,17.3,120360.0,Bachelor's degree,Less than 5 years,,Computer and Mathematics
      Computer and information research scientists,15-1221,Line item,36.6,46.0,0.0,0.0,9.4,25.6,,3.4,145080.0,Master's degree,,,Computer and Mathematics
        Computer network support specialists,15-1231,Line item,166.7,178.8,0.1,0.1,12.1,7.3,2.2,12.1,71530.0,Associate's degree,,Moderate-term on-the-job training,Computer and Mathematics
        Computer user support specialists,15-1232,Line item,725.3,762.5,0.4,0.4,37.2,5.1,2.3,50.6,59240.0,"Some college, no degree",,Moderate-term on-the-job training,Computer and Mathematics
        Computer network architects,15-1241,Line item,177.8,201.7,0.1,0.1,23.9,13.4,1.0,12.3,129840.0,Bachelor's degree,5 years or more,,Computer and Mathematics
        Database administrators,15-1242,Line item,80.5,87.1,0.0,0.0,6.6,8.2,0.3,5.3,101510.0,Bachelor's degree,,,Computer and Mathematics
        Database architects,15-1243,Line item,61.4,68.0,0.0,0.0,6.6,10.8,0.3,4.2,134700.0,Bachelor's degree,Less than 5 years,,Computer and Mathematics
        Network and computer systems administrators,15-1244,Line item,335.4,326.6,0.2,0.2,-8.8,-2.6,,16.4,95360.0,Bachelor's degree,,,Computer and Mathematics
        Computer programmers,15-1251,Line item,139.4,126.0,0.1,0.1,-13.4,-9.6,11.2,6.4,99700.0,Bachelor's degree,,,Computer and Mathematics
        Software developers,15-1252,Line item,1692.1,1995.7,1.0,1.1,303.7,17.9,1.1,125.1,132270.0,Bachelor's degree,,,Computer and Mathematics
        Software quality assurance analysts and testers,15-1253,Line item,205.0,229.2,0.1,0.1,24.2,11.8,,15.0,101800.0,Bachelor's degree,,,Computer and Mathematics
        Web developers,15-1254,Line item,94.1,102.5,0.1,0.1,8.5,9.0,6.4,6.6,84960.0,Bachelor's degree,,,Computer and Mathematics
        Web and digital interface designers,15-1255,Line item,128.6,138.8,0.1,0.1,10.2,7.9,10.0,9.9,98540.0,Bachelor's degree,,,Computer and Mathematics
"      Computer occupations, all other",15-1299,Line item,470.9,522.0,0.3,0.3,51.1,10.8,3.9,34.8,104920.0,Bachelor's degree,,,Computer and Mathematics
      Actuaries,15-2011,Line item,30.2,36.8,0.0,0.0,6.6,21.8,,2.2,120000.0,Bachelor's degree,,Long-term on-the-job training,Computer and Mathematics
      Mathematicians,15-2021,Line item,2.5,2.5,0.0,0.0,0.1,3.7,,0.2,116440.0,Master's degree,,,Computer and Mathematics
      Operations research analysts,15-2031,Line item,123.3,151.6,0.1,0.1,28.3,23.0,,11.3,83640.0,Bachelor's degree,,,Computer and Mathematics
      Statisticians,15-2041,Line item,32.4,36.2,0.0,0.0,3.8,11.8,1.3,2.3,104110.0,Master's degree,,,Computer and Mathematics
      Data scientists,15-2051,Line item,202.9,276.0,0.1,0.2,73.1,36.0,1.8,20.8,108020.0,Bachelor's degree,,,Computer and Mathematics
"      Mathematical science occupations, all other",15-2099,Line item,4.6,4.9,0.0,0.0,0.3,6.9,1.3,0.3,70620.0,Bachelor's degree,,,Computer and Mathematics
"        Architects, except landscape and naval",17-1011,Line item,127.3,137.2,0.1,0.1,9.9,7.8,12.5,8.5,93310.0,Bachelor's degree,,Internship/residency,Architecture and Engineering
        Landscape architects,17-1012,Line item,24.7,25.8,0.0,0.0,1.2,4.7,17.8,2.1,79320.0,Bachelor's degree,,Internship/residency,Architecture and Engineering
        Cartographers and photogrammetrists,17-1021,Line item,12.9,13.7,0.0,0.0,0.8,6.3,1.8,1.0,76210.0,Bachelor's degree,,,Architecture and Engineering
        Surveyors,17-1022,Line item,52.6,55.7,0.0,0.0,3.1,5.9,3.1,4.0,68540.0,Bachelor's degree,,Internship/residency,Architecture and Engineering
      Aerospace engineers,17-2011,Line item,68.9,73.0,0.0,0.0,4.1,6.0,,4.2,130720.0,Bachelor's degree,,,Architecture and Engineering
      Agricultural engineers,17-2021,Line item,1.9,2.0,0.0,0.0,0.1,7.8,,0.1,88750.0,Bachelor's degree,,,Architecture and Engineering
      Bioengineers and biomedical engineers,17-2031,Line item,19.7,21.2,0.0,0.0,1.5,7.4,0.3,1.4,100730.0,Bachelor's degree,,,Architecture and Engineering
      Chemical engineers,17-2041,Line item,21.4,23.5,0.0,0.0,2.1,9.8,,1.4,112100.0,Bachelor's degree,,,Architecture and Engineering
      Civil engineers,17-2051,Line item,341.8,363.9,0.2,0.2,22.1,6.5,2.1,22.9,95890.0,Bachelor's degree,,,Architecture and Engineering
      Computer hardware engineers,17-2061,Line item,84.1,90.2,0.1,0.1,6.1,7.2,0.8,5.0,138080.0,Bachelor's degree,,,Architecture and Engineering
        Electrical engineers,17-2071,Line item,189.1,206.3,0.1,0.1,17.2,9.1,0.8,12.5,106950.0,Bachelor's degree,,,Architecture and Engineering
"        Electronics engineers, except computer",17-2072,Line item,98.7,107.6,0.1,0.1,8.9,9.1,0.7,6.5,119200.0,Bachelor's degree,,,Architecture and Engineering
      Environmental engineers,17-2081,Line item,41.3,44.2,0.0,0.0,2.9,6.9,0.9,3.0,100090.0,Bachelor's degree,,,Architecture and Engineering
"        Health and safety engineers, except mining safety engineers and inspectors",17-2111,Line item,23.1,24.3,0.0,0.0,1.2,5.1,0.4,1.5,103690.0,Bachelor's degree,,,Architecture and Engineering
        Industrial engineers,17-2112,Line item,336.6,377.5,0.2,0.2,40.9,12.2,0.4,25.2,99380.0,Bachelor's degree,,,Architecture and Engineering
      Marine engineers and naval architects,17-2121,Line item,10.1,11.0,0.0,0.0,0.8,8.0,,0.9,100270.0,Bachelor's degree,,,Architecture and Engineering
      Materials engineers,17-2131,Line item,25.0,26.9,0.0,0.0,1.8,7.4,,1.7,104100.0,Bachelor's degree,,,Architecture and Engineering
      Mechanical engineers,17-2141,Line item,291.9,323.9,0.2,0.2,32.1,11.0,1.6,19.8,99510.0,Bachelor's degree,,,Architecture and Engineering
"      Mining and geological engineers, including mining safety engineers",17-2151,Line item,7.1,7.3,0.0,0.0,0.1,2.0,,0.4,100640.0,Bachelor's degree,,,Architecture and Engineering
      Nuclear engineers,17-2161,Line item,13.4,13.3,0.0,0.0,-0.1,-0.8,3.4,0.7,125460.0,Bachelor's degree,,,Architecture and Engineering
      Petroleum engineers,17-2171,Line item,20.8,21.3,0.0,0.0,0.5,2.4,,1.2,135690.0,Bachelor's degree,,,Architecture and Engineering
"      Engineers, all other",17-2199,Line item,161.1,169.2,0.1,0.1,8.0,5.0,3.1,10.1,111970.0,Bachelor's degree,,,Architecture and Engineering
        Architectural and civil drafters,17-3011,Line item,112.3,113.6,0.1,0.1,1.3,1.1,1.0,9.2,61820.0,Associate's degree,,,Architecture and Engineering
        Electrical and electronics drafters,17-3012,Line item,23.2,24.2,0.0,0.0,1.0,4.1,10.1,2.2,69260.0,Associate's degree,,,Architecture and Engineering
        Mechanical drafters,17-3013,Line item,50.4,47.9,0.0,0.0,-2.5,-4.9,10.2,4.0,64060.0,Associate's degree,,,Architecture and Engineering
"        Drafters, all other",17-3019,Line item,18.5,17.4,0.0,0.0,-1.1,-5.7,10.1,1.5,59260.0,Associate's degree,,,Architecture and Engineering
        Aerospace engineering and operations technologists and technicians,17-3021,Line item,11.0,11.9,0.0,0.0,0.9,7.9,1.2,1.1,77830.0,Associate's degree,,,Architecture and Engineering
        Civil engineering technologists and technicians,17-3022,Line item,66.0,67.1,0.0,0.0,1.2,1.8,0.7,5.7,60700.0,Associate's degree,,,Architecture and Engineering
        Electrical and electronic engineering technologists and technicians,17-3023,Line item,99.6,102.6,0.1,0.1,3.0,3.0,0.6,9.5,72800.0,Associate's degree,,,Architecture and Engineering
        Electro-mechanical and mechatronics technologists and technicians,17-3024,Line item,15.8,15.6,0.0,0.0,-0.2,-1.2,1.2,1.3,65080.0,Associate's degree,,,Architecture and Engineering
        Environmental engineering technologists and technicians,17-3025,Line item,14.2,14.5,0.0,0.0,0.3,2.3,1.0,1.2,54000.0,Associate's degree,,,Architecture and Engineering
        Industrial engineering technologists and technicians,17-3026,Line item,74.5,77.6,0.0,0.0,3.0,4.1,1.2,6.7,62610.0,Associate's degree,,,Architecture and Engineering
        Mechanical engineering technologists and technicians,17-3027,Line item,39.9,40.7,0.0,0.0,0.8,1.9,1.2,3.5,64020.0,Associate's degree,,,Architecture and Engineering
        Calibration technologists and technicians,17-3028,Line item,13.8,14.5,0.0,0.0,0.8,5.5,1.2,1.3,62790.0,Associate's degree,,,Architecture and Engineering
"        Engineering technologists and technicians, except drafters, all other",17-3029,Line item,69.5,72.6,0.0,0.0,3.1,4.4,0.9,6.3,73500.0,Associate's degree,,,Architecture and Engineering
      Surveying and mapping technicians,17-3031,Line item,57.4,60.6,0.0,0.0,3.2,5.6,1.6,7.6,48940.0,High school diploma or equivalent,,Moderate-term on-the-job training,Architecture and Engineering
        Animal scientists,19-1011,Line item,2.5,2.7,0.0,0.0,0.2,7.9,,0.2,70140.0,Bachelor's degree,,,"Life, Physical, and Social Science"
        Food scientists and technologists,19-1012,Line item,14.5,15.7,0.0,0.0,1.3,8.9,,1.2,82090.0,Bachelor's degree,,,"Life, Physical, and Social Science"
        Soil and plant scientists,19-1013,Line item,20.3,21.7,0.0,0.0,1.5,7.2,,1.7,68240.0,Bachelor's degree,,,"Life, Physical, and Social Science"
        Biochemists and biophysicists,19-1021,Line item,35.7,39.0,0.0,0.0,3.2,9.0,2.2,3.1,107460.0,Doctoral or professional degree,,,"Life, Physical, and Social Science"
        Microbiologists,19-1022,Line item,23.2,24.8,0.0,0.0,1.6,6.7,1.8,1.9,85470.0,Bachelor's degree,,,"Life, Physical, and Social Science"
        Zoologists and wildlife biologists,19-1023,Line item,18.8,19.6,0.0,0.0,0.8,4.4,0.6,1.5,70600.0,Bachelor's degree,,,"Life, Physical, and Social Science"
"        Biological scientists, all other",19-1029,Line item,66.8,70.6,0.0,0.0,3.8,5.6,1.4,5.4,91100.0,Bachelor's degree,,,"Life, Physical, and Social Science"
        Conservation scientists,19-1031,Line item,25.9,27.4,0.0,0.0,1.4,5.6,4.1,2.5,68750.0,Bachelor's degree,,,"Life, Physical, and Social Science"
        Foresters,19-1032,Line item,15.4,15.9,0.0,0.0,0.5,3.0,3.8,1.4,67330.0,Bachelor's degree,,,"Life, Physical, and Social Science"
        Epidemiologists,19-1041,Line item,11.0,13.1,0.0,0.0,2.1,18.8,,0.8,81390.0,Master's degree,,,"Life, Physical, and Social Science"
"        Medical scientists, except epidemiologists",19-1042,Line item,146.6,163.4,0.1,0.1,16.8,11.5,0.9,8.9,100890.0,Doctoral or professional degree,,,"Life, Physical, and Social Science"
"      Life scientists, all other",19-1099,Line item,8.0,8.5,0.0,0.0,0.5,6.5,0.8,0.4,86950.0,Bachelor's degree,,,"Life, Physical, and Social Science"
        Astronomers,19-2011,Line item,2.4,2.6,0.0,0.0,0.2,7.4,6.2,0.2,127930.0,Doctoral or professional degree,,,"Life, Physical, and Social Science"
        Physicists,19-2012,Line item,21.1,22.6,0.0,0.0,1.5,7.2,7.0,1.4,155680.0,Doctoral or professional degree,,,"Life, Physical, and Social Science"
      Atmospheric and space scientists,19-2021,Line item,9.9,10.5,0.0,0.0,0.6,5.6,,0.9,92860.0,Bachelor's degree,,,"Life, Physical, and Social Science"
        Chemists,19-2031,Line item,87.2,93.8,0.1,0.1,6.6,7.6,,7.1,84680.0,Bachelor's degree,,,"Life, Physical, and Social Science"
        Materials scientists,19-2032,Line item,9.2,10.0,0.0,0.0,0.8,8.7,,0.8,106160.0,Bachelor's degree,,,"Life, Physical, and Social Science"
"        Environmental scientists and specialists, including health",19-2041,Line item,84.6,90.7,0.1,0.1,6.1,7.3,,8.5,78980.0,Bachelor's degree,,,"Life, Physical, and Social Science"
"        Geoscientists, except hydrologists and geographers",19-2042,Line item,26.0,27.4,0.0,0.0,1.4,5.5,,2.2,92580.0,Bachelor's degree,,,"Life, Physical, and Social Science"
        Hydrologists,19-2043,Line item,6.5,6.7,0.0,0.0,0.2,2.8,,0.5,88770.0,Bachelor's degree,,,"Life, Physical, and Social Science"
"      Physical scientists, all other",19-2099,Line item,34.1,34.9,0.0,0.0,0.8,2.3,24.7,2.3,112280.0,Bachelor's degree,,,"Life, Physical, and Social Science"
      Economists,19-3011,Line item,17.5,18.4,0.0,0.0,0.9,5.1,0.4,1.0,115730.0,Master's degree,,,"Life, Physical, and Social Science"
      Survey researchers,19-3022,Line item,9.7,9.7,0.0,0.0,0.0,-0.2,5.8,0.8,60960.0,Master's degree,,,"Life, Physical, and Social Science"
        Industrial-organizational psychologists,19-3032,Line item,8.6,9.1,0.0,0.0,0.5,5.8,87.6,0.6,147420.0,Master's degree,,Internship/residency,"Life, Physical, and Social Science"
