occupational_code,education,importance
13-2031,Master's Degree,7.59
13-2031,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
13-2031,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
13-2031,Doctoral Degree,0.0
13-2031,Post-Doctoral Training,0.0
13-2041,Less than a High School Diploma,0.0
13-2041,"High School Diploma - or the equivalent (for example, GED)",0.0
13-2041,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.0
13-2041,Some College Courses,0.0
13-2041,Associate's Degree (or other 2-year degree),0.0
13-2041,Bachelor's Degree,95.0
13-2041,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
13-2041,Master's Degree,5.0
13-2041,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
13-2041,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
13-2041,Doctoral Degree,0.0
13-2041,Post-Doctoral Training,0.0
13-2051,,
13-2052,Less than a High School Diploma,0.0
13-2052,"High School Diploma - or the equivalent (for example, GED)",0.0
13-2052,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",7.69
13-2052,Some College Courses,0.0
13-2052,Associate's Degree (or other 2-year degree),0.0
13-2052,Bachelor's Degree,57.69
13-2052,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,23.08
13-2052,Master's Degree,11.54
13-2052,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
13-2052,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
13-2052,Doctoral Degree,0.0
13-2052,Post-Doctoral Training,0.0
13-2053,Less than a High School Diploma,0.0
13-2053,"High School Diploma - or the equivalent (for example, GED)",10.0
13-2053,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.0
13-2053,Some College Courses,6.67
13-2053,Associate's Degree (or other 2-year degree),10.0
13-2053,Bachelor's Degree,70.0
13-2053,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,3.33
13-2053,Master's Degree,0.0
13-2053,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
13-2053,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
13-2053,Doctoral Degree,0.0
13-2053,Post-Doctoral Training,0.0
13-2054,,
13-2061,Less than a High School Diploma,0.0
13-2061,"High School Diploma - or the equivalent (for example, GED)",0.0
13-2061,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.0
13-2061,Some College Courses,0.0
13-2061,Associate's Degree (or other 2-year degree),0.0
13-2061,Bachelor's Degree,86.96
13-2061,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,8.7
13-2061,Master's Degree,4.35
13-2061,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
13-2061,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
13-2061,Doctoral Degree,0.0
13-2061,Post-Doctoral Training,0.0
13-2071,Less than a High School Diploma,0.0
13-2071,"High School Diploma - or the equivalent (for example, GED)",36.0
13-2071,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",12.0
13-2071,Some College Courses,8.0
13-2071,Associate's Degree (or other 2-year degree),4.0
13-2071,Bachelor's Degree,40.0
13-2071,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
13-2071,Master's Degree,0.0
13-2071,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
13-2071,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
13-2071,Doctoral Degree,0.0
13-2071,Post-Doctoral Training,0.0
13-2072,Less than a High School Diploma,0.0
13-2072,"High School Diploma - or the equivalent (for example, GED)",6.13
13-2072,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.0
13-2072,Some College Courses,12.83
13-2072,Associate's Degree (or other 2-year degree),11.18
13-2072,Bachelor's Degree,68.74
13-2072,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,1.12
13-2072,Master's Degree,0.0
13-2072,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
13-2072,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
13-2072,Doctoral Degree,0.0
13-2072,Post-Doctoral Training,0.0
13-2081,Less than a High School Diploma,0.0
13-2081,"High School Diploma - or the equivalent (for example, GED)",23.17
13-2081,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.0
13-2081,Some College Courses,13.7
13-2081,Associate's Degree (or other 2-year degree),25.59
13-2081,Bachelor's Degree,33.61
13-2081,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
13-2081,Master's Degree,3.7
13-2081,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
13-2081,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.24
13-2081,Doctoral Degree,0.0
13-2081,Post-Doctoral Training,0.0
13-2082,Less than a High School Diploma,4.55
13-2082,"High School Diploma - or the equivalent (for example, GED)",31.82
13-2082,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",13.64
13-2082,Some College Courses,18.18
13-2082,Associate's Degree (or other 2-year degree),0.0
13-2082,Bachelor's Degree,31.82
13-2082,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
13-2082,Master's Degree,0.0
13-2082,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
13-2082,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
13-2082,Doctoral Degree,0.0
13-2082,Post-Doctoral Training,0.0
13-2099,,
15-1211,Less than a High School Diploma,0.0
15-1211,"High School Diploma - or the equivalent (for example, GED)",0.77
15-1211,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.54
15-1211,Some College Courses,4.62
15-1211,Associate's Degree (or other 2-year degree),50.71
15-1211,Bachelor's Degree,41.93
15-1211,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
15-1211,Master's Degree,1.42
15-1211,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
15-1211,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
15-1211,Doctoral Degree,0.0
15-1211,Post-Doctoral Training,0.0
15-1212,Less than a High School Diploma,0.0
15-1212,"High School Diploma - or the equivalent (for example, GED)",0.0
15-1212,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",7.16
15-1212,Some College Courses,2.01
15-1212,Associate's Degree (or other 2-year degree),12.87
15-1212,Bachelor's Degree,52.64
15-1212,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,22.52
15-1212,Master's Degree,2.8
15-1212,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
15-1212,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
15-1212,Doctoral Degree,0.0
15-1212,Post-Doctoral Training,0.0
15-1221,Less than a High School Diploma,0.0
15-1221,"High School Diploma - or the equivalent (for example, GED)",0.0
15-1221,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.0
15-1221,Some College Courses,8.35
15-1221,Associate's Degree (or other 2-year degree),0.0
15-1221,Bachelor's Degree,36.22
15-1221,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
15-1221,Master's Degree,19.93
15-1221,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
15-1221,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",2.58
15-1221,Doctoral Degree,28.42
15-1221,Post-Doctoral Training,4.5
15-1231,Less than a High School Diploma,0.0
15-1231,"High School Diploma - or the equivalent (for example, GED)",4.23
15-1231,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",10.16
15-1231,Some College Courses,13.63
15-1231,Associate's Degree (or other 2-year degree),21.68
15-1231,Bachelor's Degree,46.93
15-1231,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,1.84
15-1231,Master's Degree,0.0
15-1231,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,1.53
15-1231,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
15-1231,Doctoral Degree,0.0
15-1231,Post-Doctoral Training,0.0
15-1232,Less than a High School Diploma,0.0
15-1232,"High School Diploma - or the equivalent (for example, GED)",0.32
15-1232,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",32.33
15-1232,Some College Courses,1.92
15-1232,Associate's Degree (or other 2-year degree),13.74
15-1232,Bachelor's Degree,47.32
15-1232,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
15-1232,Master's Degree,0.32
15-1232,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
15-1232,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",4.05
15-1232,Doctoral Degree,0.0
15-1232,Post-Doctoral Training,0.0
15-1241,Less than a High School Diploma,5.0
15-1241,"High School Diploma - or the equivalent (for example, GED)",0.0
15-1241,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",15.0
15-1241,Some College Courses,0.0
15-1241,Associate's Degree (or other 2-year degree),15.0
15-1241,Bachelor's Degree,55.0
15-1241,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,5.0
15-1241,Master's Degree,5.0
15-1241,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
15-1241,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
15-1241,Doctoral Degree,0.0
15-1241,Post-Doctoral Training,0.0
15-1242,Less than a High School Diploma,0.0
15-1242,"High School Diploma - or the equivalent (for example, GED)",0.0
15-1242,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.15
15-1242,Some College Courses,2.21
15-1242,Associate's Degree (or other 2-year degree),3.46
15-1242,Bachelor's Degree,88.98
15-1242,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,3.91
15-1242,Master's Degree,1.29
15-1242,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
15-1242,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
15-1242,Doctoral Degree,0.0
15-1242,Post-Doctoral Training,0.0
15-1243,Less than a High School Diploma,0.0
15-1243,"High School Diploma - or the equivalent (for example, GED)",0.0
15-1243,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",4.76
15-1243,Some College Courses,0.0
15-1243,Associate's Degree (or other 2-year degree),0.0
15-1243,Bachelor's Degree,76.19
15-1243,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,4.76
15-1243,Master's Degree,14.29
15-1243,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
15-1243,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
15-1243,Doctoral Degree,0.0
15-1243,Post-Doctoral Training,0.0
15-1244,Less than a High School Diploma,0.0
15-1244,"High School Diploma - or the equivalent (for example, GED)",0.0
15-1244,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",7.49
15-1244,Some College Courses,9.72
15-1244,Associate's Degree (or other 2-year degree),20.3
15-1244,Bachelor's Degree,52.37
15-1244,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
15-1244,Master's Degree,10.13
15-1244,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
15-1244,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
15-1244,Doctoral Degree,0.0
15-1244,Post-Doctoral Training,0.0
15-1251,Less than a High School Diploma,0.0
15-1251,"High School Diploma - or the equivalent (for example, GED)",0.0
15-1251,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.0
15-1251,Some College Courses,2.52
15-1251,Associate's Degree (or other 2-year degree),8.99
15-1251,Bachelor's Degree,88.04
15-1251,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
15-1251,Master's Degree,0.45
15-1251,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
15-1251,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
15-1251,Doctoral Degree,0.0
15-1251,Post-Doctoral Training,0.0
15-1252,,
15-1253,Less than a High School Diploma,0.0
15-1253,"High School Diploma - or the equivalent (for example, GED)",2.94
15-1253,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",8.82
15-1253,Some College Courses,8.82
15-1253,Associate's Degree (or other 2-year degree),26.47
15-1253,Bachelor's Degree,50.0
15-1253,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
15-1253,Master's Degree,2.94
15-1253,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
15-1253,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
15-1253,Doctoral Degree,0.0
15-1253,Post-Doctoral Training,0.0
15-1254,Less than a High School Diploma,4.17
15-1254,"High School Diploma - or the equivalent (for example, GED)",8.33
15-1254,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",16.67
15-1254,Some College Courses,4.17
15-1254,Associate's Degree (or other 2-year degree),16.67
15-1254,Bachelor's Degree,45.83
15-1254,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,4.17
15-1254,Master's Degree,0.0
15-1254,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
15-1254,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
15-1254,Doctoral Degree,0.0
15-1254,Post-Doctoral Training,0.0
15-1255,,
15-1299,,
15-2011,Less than a High School Diploma,0.0
15-2011,"High School Diploma - or the equivalent (for example, GED)",0.0
15-2011,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.0
15-2011,Some College Courses,0.0
15-2011,Associate's Degree (or other 2-year degree),0.0
15-2011,Bachelor's Degree,78.57
15-2011,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,10.71
15-2011,Master's Degree,0.0
15-2011,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
15-2011,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",10.71
15-2011,Doctoral Degree,0.0
15-2011,Post-Doctoral Training,0.0
15-2021,Less than a High School Diploma,0.0
15-2021,"High School Diploma - or the equivalent (for example, GED)",0.0
15-2021,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.0
15-2021,Some College Courses,0.0
15-2021,Associate's Degree (or other 2-year degree),0.0
15-2021,Bachelor's Degree,8.33
15-2021,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,8.33
15-2021,Master's Degree,25.0
15-2021,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
15-2021,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
15-2021,Doctoral Degree,50.0
15-2021,Post-Doctoral Training,8.33
15-2031,Less than a High School Diploma,0.0
15-2031,"High School Diploma - or the equivalent (for example, GED)",0.0
15-2031,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.0
15-2031,Some College Courses,0.0
15-2031,Associate's Degree (or other 2-year degree),0.0
15-2031,Bachelor's Degree,33.33
15-2031,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,9.52
15-2031,Master's Degree,42.86
15-2031,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
15-2031,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
15-2031,Doctoral Degree,14.29
15-2031,Post-Doctoral Training,0.0
15-2041,Less than a High School Diploma,0.0
15-2041,"High School Diploma - or the equivalent (for example, GED)",0.0
15-2041,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.0
15-2041,Some College Courses,4.76
15-2041,Associate's Degree (or other 2-year degree),4.76
15-2041,Bachelor's Degree,14.29
15-2041,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,0.0
15-2041,Master's Degree,61.9
15-2041,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
15-2041,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
15-2041,Doctoral Degree,9.52
15-2041,Post-Doctoral Training,4.76
15-2051,,
15-2099,,
17-1011,Less than a High School Diploma,0.0
17-1011,"High School Diploma - or the equivalent (for example, GED)",0.0
17-1011,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.0
17-1011,Some College Courses,0.0
17-1011,Associate's Degree (or other 2-year degree),4.76
17-1011,Bachelor's Degree,42.86
17-1011,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,4.76
17-1011,Master's Degree,23.81
17-1011,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
17-1011,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",23.81
17-1011,Doctoral Degree,0.0
17-1011,Post-Doctoral Training,0.0
17-1012,Less than a High School Diploma,0.0
17-1012,"High School Diploma - or the equivalent (for example, GED)",0.0
17-1012,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",0.0
17-1012,Some College Courses,0.0
17-1012,Associate's Degree (or other 2-year degree),0.0
17-1012,Bachelor's Degree,67.86
17-1012,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,3.57
17-1012,Master's Degree,17.86
17-1012,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
17-1012,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",10.71
17-1012,Doctoral Degree,0.0
17-1012,Post-Doctoral Training,0.0
17-1021,Less than a High School Diploma,0.0
17-1021,"High School Diploma - or the equivalent (for example, GED)",0.0
17-1021,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",35.73
17-1021,Some College Courses,10.63
17-1021,Associate's Degree (or other 2-year degree),11.15
17-1021,Bachelor's Degree,30.02
17-1021,Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.,1.48
17-1021,Master's Degree,10.99
17-1021,Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.,0.0
17-1021,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",0.0
17-1021,Doctoral Degree,0.0
17-1021,Post-Doctoral Training,0.0
17-1022,Less than a High School Diploma,0.0
17-1022,"High School Diploma - or the equivalent (for example, GED)",15.79
17-1022,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",5.26
17-1022,Some College Courses,21.05
